Rio Chama Bug Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 3 (2022): April 14 - September 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (m/dd/yy),Barcode,Campsite Name,River Mile,River Side,Wind,Habitat Type,Air Temperature (Celsius),Water Temperature (Celsius),Time Open (24hr),Time Closed (24hr),Total Time (mins),Rain?,Flow (cfs) at El Vado Guaging Station,Flow (cfs) at Abiquiu Guaging Station Above Resevoir,,,,,,,,,,,,,,
4/14/2022,L13879,Meandering Rapid Camp,23.8,L,<10mph (light wind),Vegetation,7.9,10.5,20:06,21:06,60,N,488,455,,,,,,,,,,,,,,
4/15/2022,L13882,Chama Wall,15,R,0-1mph (calm),Vegetation,14.4,11.1,19:35,20:35,60,N,481,462,,,,,,,,,,,,,,
4/15/2022,L13873,Below Hotsprings,4,L,0-1mph (calm),,6.2,8.2,20:45,21:45,60,N,481,462,,,,,,,,,,,,,,
4/15/2022,L13888,Lazy River,7.3,R,0-1mph (calm),Vegetation,8.9,11.2,19:54,20:52,58,N,481,462,,,,,,,,,,,,,,
4/16/2022,L13884,Across from Last Chance,17.9,R,<10mph (light wind),Sand,18,12.6,19:59,20:59,60,N,481,442,,,,,,,,,,,,,,
4/16/2022,L13872,Chama Wall,16.2,R,>10mph (strong wind),Sand,15.7,12.4,19:48,20:48,60,N,481,442,,,,,,,,,,,,,,
4/22/2022,L13878,Above Sleeper,8,R,<10mph (light wind),Sand,10.5,7.3,19:42,20:35,53,N,1230,1200,,,,,,,,,,,,,,
4/22/2022,L13881,Aragon Camp,10,R,>10mph (strong wind),Sand,11.7,8.6,19:53,20:53,60,N,1230,1200,,,,,,,,,,,,,,
4/22/2022,L12941,Tiger Wall,12.5,L,<10mph (light wind),Sand,9.9,7.6,20:00,21:00,60,N,1230,1200,,,,,,,,,,,,,,
4/23/2022,L13842,Huckbay #2,17.5,L,0-1mph (calm),Sand,7.1,9.1,19:50,20:50,60,N,1220,1250,,,,,,,,,,,,,,
4/23/2022,L13880,Mile 16.8 Camp,16.8,R,<10mph (light wind),Sand,8.9,10.3,19:30,20:30,60,N,1220,1250,,,,,,,,,,,,,,
4/29/2022,L12934,Burrow,x,L,<10mph (light wind),Vegetation,13.6,8.9,20:16,21:18,62,N,1860,2150,,,,,,,,,,,,,,
4/29/2022,L12925,Huckbay #1,17.9,L,0-1mph (calm),Rock,11.1,8.9,20:09,21:09,60,N,1860,2150,,,,,,,,,,,,,,
4/30/2022,L13841,Lower Chama Wall,16.2,R,0-1mph (calm),Vegetation,12,10.8,20:15,21:15,60,N,1860,2120,,,,,,,,,,,,,,
4/30/2022,L13890,Mile 26.8 Camp,26.8,R,<10mph (light wind),Sand,18.8,10.2,18:00,19:10,70,N,1860,2120,,,,,,,,,,,,,,
4/30/2022,L12942,Huckbay #1,17.9,L,0-1mph (calm),Rock,11.7,8.9,19:45,20:45,60,N,1860,2120,,,,,,,,,,,,,,
5/6/2022,L13887,Aragon Rock,10,R,<10mph (light wind),Rock,19.5,10.7,19:10,20:10,60,N,1500,1480,,,,,,,,,,,,,,
5/6/2022,L12923,Aragon Rock,10,R,<10mph (light wind),Sand/Rock,19.5,10.7,19:10,20:10,60,N,1500,1480,,,,,,,,,,,,,,
5/6/2022,L12922,Hot Springs,3.9,L,0-1mph (calm),Vegetation,20.3,9.7,20:00,21:00,60,N,1500,1480,,,,,,,,,,,,,,
5/13/2022,L12943,"Beaver, above Sleeper",8,R,<10mph (light wind),Sand/Vegetation,18,14.1,19:45,20:45,60,N,965,973,,,,,,,,,,,,,,
5/13/2022,L12927,Rio Cebolla,14,L,0-1mph (calm),Vegetation,15,13.7,19:35,20:36,61,N,965,973,,,,,,,,,,,,,,
5/14/2022,L12800,Chama Wall,16.2,R,0-1mph (calm),Sand/Vegetation,12.6,15,20:00,21:00,60,N,844,942,,,,,,,,,,,,,,
5/14/2022,L12924,Mile 26,26,R,0-1mph (calm),Sand,20.1,15,20:04,21:01,57,N,844,942,,,,,,,,,,,,,,
5/15/2022,L12929,below Aragon,11.6,R,0-1mph (calm),Sand (with some grass),17,13,20:00,21:00,60,N,829,795,,,,,,,,,,,,,,
5/16/2022,L12958,Lower Huckbay,17.8,L,0-1mph (calm),Sand,16,15,20:15,21:15,60,N,854,815,,,,,,,,,,,,,,
5/22/2022,L12928,Archuleta Camp,5.5,L,0-1mph (calm),Vegetation,15.3,13.4,20:11,21:11,60,N,650,614,,,,,,,,,,,,,,
5/23/2022,L12920,Archuleta Camp,5.5,L,0-1mph (calm),Vegetation,9.8,13.1,20:15,21:15,60,N,664,593,,,,,,,,,,,,,,
5/26/2022,L13817,Monastery S,"36.372817, -106.681089",L,<10mph (light wind),Vegetation,22.3,15.2,20:30,21:30,60,N,381,441,,,,,,,,,,,,,,
6/2/2022,L13820,Monastery S,"36.372817, -106.681089",L,0-1mph (calm),Vegetation,23.2,18.1,20:30,21:30,60,N,267,239,,,,,,,,,,,,,,
6/3/2022,L12921,Cooper's El Vado Ranch,0.1,L,0-1mph (calm),Sand,18.8,16.4,20:32,21:32,60,N,523,305,,,,,,,,,,,,,,
6/4/2022,L13889,Cooper's El Vado Ranch,0.1,L,0-1mph (calm),Sand,21.5,16,20:25,21:25,60,N,524,498,,,,,,,,,,,,,,
6/7/2022,L13816,Monastery S,"36.372817, -106.681089",L,<10mph (light wind),Vegetation,27.9,18.3,20:30,21:30,60,N,455,453,,,,,,,,,,,,,,
6/10/2022,L14693,Cooper's El Vado Ranch,0.1,R,0-1mph (calm),Vegetation,17.4,17.5,20:36,21:36,60,N,455,440,,,,,,,,,,,,,,
6/14/2022,L14700,Monastery S,"36.372817, -106.681089",L,<10mph (light wind),Vegetation,25.1,16.9,20:30,21:30,60,N,131,356,,,,,,,,,,,,,,
6/17/2022,L14696,Cooper's El Vado Ranch,0.25,L,0-1mph (calm),Rock,14.3,17.4,20:20,21:20,60,Y,135,133,,,,,,,,,,,,,,
6/18/2022,L14694,Cooper's El Vado Ranch,0.25,L,0-1mph (calm),Rock,14,16.4,20:31,21:31,60,Y,135,135,,,,,,,,,,,,,,
6/20/2022,L14721,Monastery N,"36.386032, -106.687057",L,<10mph (light wind),Vegetation,22.3,17.8,20:45,21:45,60,N,138,132,,,,,,,,,,,,,,
6/21/2022,L14701,Monastery S,"36.372817, -106.681089",L,<10mph (light wind),Vegetation,16.5,17.4,20:30,21:30,60,N,238,134,,,,,,,,,,,,,,
6/24/2022,L12926,Oak Point,24.9,L,0-1mph (calm),Sand,19.1,21.3,20:31,21:31,60,N,633,132,,,,,,,,,,,,,,
6/25/2022,L14695,Big Bend Camp,28,L,<10mph (light wind),Vegetation,15.9,17.3,20:28,21:28,60,Y,640,567,,,,,,,,,,,,,,
6/28/2022,L14720,Monastery N,"36.386032, -106.687057",L,<10mph (light wind),Vegetation,21.5,17.7,20:45,21:45,60,N,520,152,,,,,,,,,,,,,,
6/29/2022,L12802,Monastery S,"36.372817, -106.681089",L,<10mph (light wind),Vegetation,24.7,16.3,20:30,21:30,60,N,295,369,,,,,,,,,,,,,,
7/1/2022,L14692,Aragon,9,R,0-1mph (calm),Sand/Rock,16.1,18.8,20:28,21:30,62,N,597,313,,,,,,,,,,,,,,
7/1/2022,L14744,Aragon,9,R,0-1mph (calm),Sand/Rock/Vegetation,17,19,20:28,21:30,62,N,597,313,,,,,,,,,,,,,,
7/1/2022,L14740,Above Aragon,9.6,R,0-1mph (calm),Vegetation,17.3,20.1,20:24,21:24,60,N,597,313,,,,,,,,,,,,,,
7/2/2022,L14691,Chama Wall,16.3,R,0-1mph (calm),N/A,17.5,19.3,20:30,21:30,60,N,583,537,,,,,,,,,,,,,,
7/2/2022,L14745,Chama Wall,16.3,R,0-1mph (calm),Vegetation,16.1,18.5,20:30,21:30,60,N,583,537,,,,,,,,,,,,,,
7/2/2022,L14741,The Steps,16,R,0-1mph (calm),Sand,20.2,20.3,20:30,21:32,62,N,583,537,,,,,,,,,,,,,,
4-Jul,L13818,Monastery S,"36.372817, -106.681089",L,<10mph (light wind),Vegetation,16.2,17.1,20:30,21:30,60,N,94.4,444,,,,,,,,,,,,,,
7/7/2022,L14718,Monastery N,"36.386032, -106.687057",L,0-1mph (calm),Vegetation,21,18,20:45,21:45,60,N,185,194,,,,,,,,,,,,,,
7/8/2022,L14750,Aragon,10.1,L,0-1mph (calm),Vegetation,19.1,19.9,20:34,21:40,66,N,612,186,,,,,,,,,,,,,,
7/8/2022,L14753,Hot Springs #1,4,L,0-1mph (calm),Vegetation,25,20,20:05,21:06,61,N,612,186,,,,,,,,,,,,,,
7/8/2022,L14749,Big Bend Camp,28,L,0-1mph (calm),Vegetation,21.3,22.1,20:32,21:37,65,N,612,186,,,,,,,,,,,,,,
7/9/2022,L14737,Chama Wall,16.2,R,0-1mph (calm),Vegetation,22.6,21.8,20:14,21:16,62,N,604,538,,,,,,,,,,,,,,
7/9/2022,L14738,Unknown,15.2,R,0-1mph (calm),Vegetation,19,21,20:40,21:30,50,N,604,538,,,,,,,,,,,,,,
7/9/2022,L14748,Big Bend Camp,27.9,L,0-1mph (calm),Sand,24.6,22.3,20:36,21:36,60,N,604,538,,,,,,,,,,,,,,
7/11/2022,L13877,Monastery S,"36.372817, -106.681089",L,<10mph (light wind),Vegetation,24.4,16.8,20:30,21:30,60,N,138,137,,,,,,,,,,,,,,
7/13/2022,L13859,Monastery S,"36.372817, -106.681089",L,<10mph (light wind),Vegetation,28.1,17.6,20:30,21:30,60,N,103,x,,,,,,,,,,,,,,
7/15/2022,L14736,Chama Wall,16,R,0-1mph (calm),Sand,20,22,20:45,21:45,60,N,633,x,,,,,,,,,,,,,,
7/15/2022,L14759,Beaver Camp,8.1,R,0-1mph (calm),Sand,24.5,22.2,20:39,21:40,61,N,633,x,,,,,,,,,,,,,,
7/15/2022,L14755,Tiger Wall,12.4,L,0-1mph (calm),Sand,19.8,21.9,20:32,21:34,62,N,633,x,,,,,,,,,,,,,,
7/16/2022,l14743,Two Step,17.3,R,<10mph (light wind),Sand,19,22.8,20:28,21:28,60,N,633,535,,,,,,,,,,,,,,
7/16/2022,L14756,Mile 26+ Camp,26,R,0-1mph (calm),Sand,20.4,21.5,20:17,21:16,59,N,633,535,,,,,,,,,,,,,,
7/18/2022,L14719,Monastery N,"36.386032, -106.687057",L,0-1mph (calm),Vegetation,26.1,24.7,20:10,21:05,55,N,105,103,,,,,,,,,,,,,,
7/20/2022,L13819,Monastery S,"36.372817, -106.681089",L,0-1mph (calm),Vegetation,27.7,16.9,20:30,21:30,60,N,105,97.2,,,,,,,,,,,,,,
7/22/2022,L14760,Aragon,10,R,0-1mph (calm),Vegetation,24.1,20.6,19:40,20:40,60,N,637,125,,,,,,,,,,,,,,
7/23/2022,L14758,Huckby #1,17.2,L,0-1mph (calm),Rock,17.8,21.3,19:45,20:45,60,Y,636,586,,,,,,,,,,,,,,
7/29/2022,L12932,Monastery S,"36.372817, -106.681089",L,<10mph (light wind),Vegetation,18.5,19.1,20:30,21:30,60,N,617,787,,,,,,,,,,,,,,
7/29/2022,L15222,Tiger Wall,12.5,L,0-1mph (calm),Vegetation,18.8,21.7,21:00,22:00,60,x,617,787,,,,,,,,,,,,,,
7/29/2022,L14739,Aragon,10,R,0-1mph (calm),Vegetation,x,19.9,20:11,21:10,59,N,617,787,,,,,,,,,,,,,,
7/30/2022,L14752,Chama Wall,15,R,0-1mph (calm),,18.3,19.6,20:55,21:50,55,N,788,725,,,,,,,,,,,,,,
8/2/2022,L14702,Monastery S,"36.372817, -106.681089",L,0-1mph (calm),Vegetation,26.3,19.1,20:30,21:15,60,N,500,584,,,,,,,,,,,,,,
8/5/2022,L15221,Tiger Wall,12.3,L,0-1mph (calm),"Sand, Vegetation",19.5,27.5,20:12,21:12,60,N,595,319,,,,,,,,,,,,,,
8/5/2022,L15220,Hot Springs #3,4.5,L,0-1mph (calm),Vegetation,24.3,21.6,20:10,21:16,66,N,595,319,,,,,,,,,,,,,,
8/5/2022,L15226,Land Site,6.8,L,0-1mph (calm),"Sand, Rock, Vegetation",21.7,21.6,20:09,21:09,60,N,595,319,,,,,,,,,,,,,,
8/6/2022,L15224,Huckby C,19.5,L,0-1mph (calm),Sand,16.5,19.3,20:22,21:18,56,N,601,582,,,,,,,,,,,,,,
8/6/2022,L14751,Huckbay,17.4,L,0-1mph (calm),"Sand, Rock, Vegetation",15.9,18.8,20:15,21:15,60,Y,601,582,,,,,,,,,,,,,,
8/10/2022,L14703,Monastery S,"36.372817, -106.681089",L,0-1mph (calm),Vegetation,24.4,20.3,20:30,21:15,60,N,224,449,,,,,,,,,,,,,,
8/12/2022,L14742,Sleeper,8.5,R,0-1mph (calm),Vegetation,22.2,23.2,20:04,20:55,51,N,596,313,,,,,,,,,,,,,,
8/12/2022,L15190,Ponderosa/Red Dune,15.2,R,0-1mph (calm),Vegetation,19.7,21.5,20:07,21:05,58,N,596,313,,,,,,,,,,,,,,
8/12/2022,L14722,Monastery N,"36.386032, -106.687057",L,<10mph (light wind),Vegetation,25.1,22.6,20:20,21:35,75,N,596,313,,,,,,,,,,,,,,
8/13/2022,L15227,"""In Public""",21.5,R,0-1mph (calm),Vegetation,23.1,23.7,20:35,21:15,40,N,602,560,,,,,,,,,,,,,,
8/13/2022,L15225,Whirlpool,30.5,L,0-1mph (calm),Vegetation,x,x,20:08,21:08,60,N,602,560,,,,,,,,,,,,,,
8/13/2022,L15219,Ponderosa/Red Dune,15.2,R,0-1mph (calm),Vegetation,21.9,21,20:25,21:29,64,N,602,560,,,,,,,,,,,,,,
8/15/2022,L14723,Monastery N,"36.386032, -106.687057",L,<10mph (light wind),Vegetation,21.3,17.1,20:20,21:20,60,N,135,149,,,,,,,,,,,,,,
8/17/2022,L14706,Monastery S,"36.372817, -106.681089",L,0-1mph (calm),Vegetation,18.6,18.7,20:15,21:15,60,N,142,152,,,,,,,,,,,,,,
8/19/2022,L15198,Meandering Rapid Camp,23.8,L,0-1mph (calm),Sand,21,20.5,19:59,21:00,61,N,598,579,,,,,,,,,,,,,,
8/19/2022,L15200,Aragon,10,R,<10mph (light wind),Sand/Vegetation,18.6,18,20:01,21:00,59,N,598,579,,,,,,,,,,,,,,
8/19/2022,L14757,15.2,15,R,0-1mph (calm),Vegetation,18.9,20.6,20:04,21:00,56,Y,598,579,,,,,,,,,,,,,,
8/20/2022,L15197,Meandering Rapid Camp,23.8,L,0-1mph (calm),Sand,18.3,17.2,20:06,21:06,60,N,590,588,,,,,,,,,,,,,,
8/20/2022,L15199,Chama Wall,16,R,0-1mph (calm),Sand/Vegetation,15.6,17.2,20:25,x,x,x,590,588,,,,,,,,,,,,,,
8/20/2022,L15194,15.2,15.2,R,0-1mph (calm),Sand/Vegetation,16,18.7,20:03,21:05,62,N,590,588,,,,,,,,,,,,,,
8/24/2022,L14707,Monastery S,"36.372817, -106.681089",L,<10mph (light wind),Vegetation,17.9,17.8,20:15,21:15,60,N,221,149,,,,,,,,,,,,,,
8/26/2022,L14746,Tiger Wall,12.2,L,0-1mph (calm),Vegetation,15.6,20,20:35,21:38,63,Y,588,322,,,,,,,,,,,,,,
8/26/2022,L15195,Burro,6,L,0-1mph (calm),Vegetation,19.3,18.9,19:43,20:44,61,Y,588,322,,,,,,,,,,,,,,
8/27/2022,L14747,2 Step,17,R,0-1mph (calm),Sand,15.6,17.8,20:45,21:48,63,N,667,679,,,,,,,,,,,,,,
8/27/2022,L15196,Huckbay 1,17.2,L,0-1mph (calm),Vegetation,15.1,16.5,19:30,20:35,65,N,667,679,,,,,,,,,,,,,,
8/30/2022,L14724,Monastery N,"36.386032, -106.687057",L,<10mph (light wind),Vegetation,23,21.2,20:00,21:00,60,N,132,239,,,,,,,,,,,,,,
8/31/2022,L14725,Monastery N,"36.386032, -106.687057",L,0-1mph (calm),Vegetation,17.1,21.1,19:50,20:50,60,N,132,142,,,,,,,,,,,,,,
8/31/2022,L14708,Monastery S,"36.372817, -106.681089",L,0-1mph (calm),Vegetation,22.5,16.9,20:15,21:15,60,N,132,142,,,,,,,,,,,,,,
9/2/2022,L15211,Aragon,10,R,0-1mph (calm),Sand,x,15.4,20:00,21:00,60,N,585,558,,,,,,,,,,,,,,
9/3/2022,L15210,Huckbay,17.5,L,0-1mph (calm),Sand/Rock,x,x,20:45,21:45,60,N,592,571,,,,,,,,,,,,,,
9/3/2022,L15207,Chama Wall,16,R,0-1mph (calm),Sand/Vegetation,20,15.5,20:16,21:20,64,N,592,571,,,,,,,,,,,,,,
9/4/2022,L14726,Monastery N,"36.386032, -106.687057",L,<10mph (light wind),Vegetation,17,22,20:30,21:30,60,N,614,566,,,,,,,,,,,,,,
9/6/2022,L14727,Monastery N,"36.386032, -106.687057",L,0-1mph (calm),Vegetation,18.1,20,19:45,20:50,65,N,613,588,,,,,,,,,,,,,,
9/7/2022,L14728,Monastery N,"36.386032, -106.687057",L,<10mph (light wind),Vegetation,16,20.1,19:45,20:45,60,N,617,588,,,,,,,,,,,,,,
9/7/2022,L14709,Monastery S,"36.372817, -106.681089",L,<10mph (light wind),Vegetation,20.7,17.3,20:15,21:15,60,N,612,588,,,,,,,,,,,,,,
9/9/2022,,#3 Hotsprings,5,L,<10mph (light wind),Vegetation,20.1,14.6,19:55,20:45,50,Y,611,592,,,,,,,,,,,,,,
9/9/2022,L15202,Above Sleeper,8,R,0-1mph (calm),Vegetation,18.6,15.3,19:45,20:46,61,N,611,592,,,,,,,,,,,,,,
9/10/2022,,Red Dune,15.2,R,0-1mph (calm),Vegetation,16.1,18.1,19:35,20:30,55,N,611,588,,,,,,,,,,,,,,
9/10/2022,L15209,Chama Wall,16.2,R,0-1mph (calm),Vegetation,17.5,17.4,19:49,20:50,61,N,611,588,,,,,,,,,,,,,,
